case_id,method,ade_m,fde_m
inD_02_track12_frame409,Ours,0.0987840297220235,0.078474954755217
inD_02_track12_frame409,GAN-TL,0.1101650192887185,0.1206790423524055
inD_02_track12_frame409,FD-Align,0.1156174281297929,0.3480509799086979
inD_02_track12_frame409,GT-MMD,0.5017811396834688,1.759754931575931
inD_02_track12_frame409,Localized,1.5494826580761014,5.134123129088693
inD_18_track94_frame5270,Ours,0.0590650513732653,0.0604257229402141
inD_18_track94_frame5270,GAN-TL,0.0751045348570437,0.0886876152318918
inD_18_track94_frame5270,FD-Align,0.081261474340059,0.2646260303024374
inD_18_track94_frame5270,GT-MMD,0.152767742609977,0.6363264586185549
inD_18_track94_frame5270,Localized,0.7821138919612969,2.634999486709264
inD_17_track301_frame20516,Ours,0.0289733991105447,0.0810840805263651
inD_17_track301_frame20516,GAN-TL,0.0482782439338117,0.0916531028693951
inD_17_track301_frame20516,FD-Align,0.0929684615656382,0.2838973199944004
inD_17_track301_frame20516,GT-MMD,0.0598141488129118,0.1799257226180763
inD_17_track301_frame20516,Localized,0.6264439721809605,1.736278021762146
